RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
12185,520081000,707,LYONS COURT LN,,1.0 Residential (Urban),Taxable,R-A,,LOT 19 LYONS PLACE,0.225,4735
12186,520082000,716,CARGIL LN,,1.0 Residential (Urban),Taxable,R-A,,LOT 16 LYONS PLACE,0.201,4652
12187,520083000,718,CARGIL LN,,1.0 Residential (Urban),Taxable,R-A,,"LOT 14,A,PT 12 & 15 LYONS PL",1.29,4483
12188,520086000,709,LYONS COURT LN,,1.0 Residential (Urban),Taxable,R-A,01,LOT 20 & PT 15 LYONS PLACE,0.273,4699
12189,520087000,711,LYONS COURT LN,,1.0 Residential (Urban),Taxable,R-A,,PT LOT 15 & LOT 21 LYONS PLACE,0.277,4721
12190,520088000,717,LYONS COURT LN,,1.0 Residential (Urban),Taxable,R-A,,LOT LYONS PARK,0.56,4740
12191,520089000,701,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 1 SEC D LYONS PLACE,0.209,4959
12192,520090000,703,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 2 SEC D LYONS PLACE,0.241,4882
12193,520091000,705,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 3 & STRIP SEC D LYONS PL,0.241,4825
12194,520092000,707,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,01,LOT 4 & STRIP SEC D LYONS PL,0.257,4761
12195,520093000,708,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 22 SEC A LYONS PLACE,0.23,4909
12196,520094000,704,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 21 SEC A LYONS PLACE,0.184,4966
12197,520095000,702,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 20 SEC A LYONS PLACE,0.194,5003
12198,520096000,700,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 19 SEC A LYONS PLACE,0.201,5055
12199,520097000,682,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 18 SEC A LYONS PLACE,0.215,5112
12200,520098000,678,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 17 SEC A LYONS PLACE,0.221,5167
12201,520099000,676,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 16 SEC A LYONS PLACE,0.23,5216
12202,520100000,674,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 15 SEC A LYONS PLACE,0.243,5266
12203,520101000,672,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 14A SEC A LYONS PLACE,0.507,5316
12204,520102000,670,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 13A SEC A LYONS PLACE,0.286,5364
12205,520103000,666,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 12 SEC A LYONS PLACE,0.332,5389
12206,520104000,660,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 11 SEC A LYONS PLACE,0.231,5374
12207,520105000,656,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 10 SEC A LYONS PLACE,0.231,5355
12208,520106000,654,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 9 SEC A LYONS PLACE,0.231,5343
12209,520107000,650,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 8 SEC A LYONS PLACE,0.23,5326
12210,520108000,638,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 7 SEC A LYONS PLACE,0.23,5308
12211,520109000,632,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,01,LOT 6 SEC A LYONS PLACE,0.229,5289
12212,520110000,628,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 5 SEC A LYONS PLACE,0.232,5271
12213,520111000,622,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 4 SEC A LYONS PLACE,0.235,5248
12214,520112000,616,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 3 & STRIP BK A LYONS PLACE,0.287,5226
12215,520113000,636,PARK ST,,1.0 Residential (Urban),Taxable,R-B,,PT LOT 1 SEC A LYONS PLACE,0.36,5185
12216,520114000,632,PARK ST,,1.0 Residential (Urban),Taxable,R-B,,LOT 2 SEC A LYONS PLACE,0.301,5265
12217,520115000,630,PARK ST,,1.0 Residential (Urban),Taxable,RX-3,,PARK LANE CONDO COMMON AREA,0.672,5338
12218,520115100,630,PARK ST,A,1.0 Residential (Urban),Taxable,R-B,,UNIT A THE PARK LANE CONDO,0,5338
12219,520115101,630,PARK ST,J,1.0 Residential (Urban),Taxable,RX-3,,UNIT J THE PARK LANE CONDO,0,5338
12220,520115110,630,PARK ST,K,1.0 Residential (Urban),Taxable,RX-3,,UNIT K THE PARK LANE CONDO,0,5338
12221,520115120,630,PARK ST,L,1.0 Residential (Urban),Taxable,RX-3,,UNIT L THE PARK LANE CONDO,0,5338
12222,520115130,630,PARK ST,M,1.0 Residential (Urban),Taxable,RX-3,,UNIT M THE PARK LANE CONDO,0,5338
12223,520115140,630,PARK ST,N,1.0 Residential (Urban),Taxable,RX-3,,UNIT N THE PARK LANE CONDO,0,5338
12224,520115150,630,PARK ST,O,1.0 Residential (Urban),Taxable,RX-3,,UNIT O THE PARK LANE CONDO,0,5338
12225,520115160,630,PARK ST,P,1.0 Residential (Urban),Taxable,RX-3,,UNIT P THE PARK LANE CONDO,0,5338
12226,520115170,630,PARK ST,Q,1.0 Residential (Urban),Taxable,RX-3,,UNIT Q THE PARK LANE CONDO,0,5338
12227,520115180,630,PARK ST,R,1.0 Residential (Urban),Taxable,RX-3,,UNIT R THE PARK LANE CONDO,0,5338
12228,520115190,630,PARK ST,S,1.0 Residential (Urban),Taxable,RX-3,,UNIT S THE PARK LANE CONDO,0,5338
12229,520115200,630,PARK ST,B,1.0 Residential (Urban),Taxable,RX-3,,UNIT B THE PARK LANE CONDO,0,5338
12230,520115201,630,PARK ST,T,1.0 Residential (Urban),Taxable,RX-3,,UNIT T THE PARK LANE CONDO,0,5338
12231,520115210,630,PARK ST,U,1.0 Residential (Urban),Taxable,RX-3,,UNIT U THE PARK LANE CONDO,0,5338
12232,520115220,630,PARK ST,V,1.0 Residential (Urban),Taxable,RX-3,,UNIT V THE PARK LANE CONDO,0,5338
12233,520115230,630,PARK ST,W,1.0 Residential (Urban),Taxable,RX-3,,UNIT W THE PARK LANE CONDO,0,5338
12234,520115240,630,PARK ST,X,1.0 Residential (Urban),Taxable,RX-3,,UNIT X THE PARK LANE CONDO,0,5338
12235,520115300,630,PARK ST,C,1.0 Residential (Urban),Taxable,RX-3,,UNIT C THE PARK LANE CONDO,0,5338
12236,520115400,630,PARK ST,D,1.0 Residential (Urban),Taxable,RX-3,,UNIT D THE PARK LANE CONDO,0,5338
12237,520115500,630,PARK ST,E,1.0 Residential (Urban),Taxable,RX-3,,UNIT E THE PARK LANE CONDO,0,5338
12238,520115600,630,PARK ST,F,1.0 Residential (Urban),Taxable,RX-3,,UNIT F THE PARK LANE CONDO,0,5338
12239,520115700,630,PARK ST,G,1.0 Residential (Urban),Taxable,RX-3,,UNIT G THE PARK LANE CONDO,0,5338
12240,520115800,630,PARK ST,H,1.0 Residential (Urban),Taxable,RX-3,,UNIT H THE PARK LANE CONDO,0,5338
12241,520115900,630,PARK ST,I,1.0 Residential (Urban),Taxable,RX-3,,UNIT I THE PARK LANE CONDO,0,5338
12242,520116000,613,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,01,LOTS 3 & 4 LYONS PLACE,0.264,5378
12243,520117000,615,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,LOT 5 LYONS PLACE,0.124,5402
12244,520118000,617,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,LOT 6 & PT LOT 7 LYONS PLACE,0.179,5411
12245,520119000,0,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,PT LOTS 7 & 8 LYONS PLACE,0.156,5428
12246,520120000,0,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,LOT 9 & PT LOT 8,0.121,5443
12247,520121000,0,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,LOT 10 & PT 11,0.194,5462
12248,520122000,0,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,LOT LYONS PLACE,0.177,5477
12249,520123000,0,EVERGREEN AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT LYONS PLACE,0.167,5494
